country,Purchasing Power Value,Purchasing Power Category,Safety Value,Safety Category,Health Care Value,Health Care Category,Cost of Living Value,Cost of Living Category,Pollution Value,Pollution Category
Cuba,2.55,Very Low,66.02,High,59.3,Moderate,41.1,Low,65.82,High
Curacao,0,Very Low,46.19,Moderate,50.35,Moderate,0,Very Low,55.46,Moderate
Cyprus,84.66,Moderate,66.9,High,57.13,Moderate,50.99,Low,54.99,Moderate
Czech Republic,90.3,High,73.64,High,75.47,High,43.65,Low,34.78,Low
Democratic Republic of the Congo,25.51,Very Low,36.16,Low,25.69,Low,50.85,Low,83.22,Very High
Denmark,134.75,Very High,73.81,High,78.5,High,68.9,Moderate,20.75,Low
Djibouti,165.89,Very High,42.74,Moderate,0,Very Low,76.83,High,64.6,High
Dominica,32.92,Very Low,46.42,Moderate,36.57,Low,50.36,Low,20.69,Low
Dominican Republic,31.82,Very Low,39.4,Low,58.26,Moderate,34.75,Very Low,72.8,High
Ecuador,45.93,Low,37.57,Low,75.39,High,30.28,Very Low,59.05,Moderate
Egypt,21.15,Very Low,52.64,Moderate,47.32,Moderate,19.46,Very Low,82.67,Very High
El Salvador,33.72,Very Low,40.58,Moderate,51.67,Moderate,38.13,Very Low,75.37,High
Equatorial Guinea,30.87,Very Low,52.16,Moderate,42.59,Moderate,51.87,Low,59.85,Moderate
Eritrea,58.05,Low,72.86,High,55.56,Moderate,53.58,Low,15.52,Very Low
Estonia,83.91,Moderate,76.37,High,75.93,High,50.4,Low,17.02,Very Low
Eswatini,64.57,Moderate,56.45,Moderate,61.11,High,24.22,Very Low,32.07,Low
Ethiopia,13.59,Very Low,49.1,Moderate,53.46,Moderate,43.89,Low,73.24,High
Falkland Islands,0,Very Low,55.64,Moderate,0,Very Low,0,Very Low,3.45,Very Low
Faroe Islands,0,Very Low,83.57,Very High,65.08,High,0,Very Low,4.91,Very Low
Fiji,57.77,Low,43.44,Moderate,48.18,Moderate,33.42,Very Low,53.44,Moderate
Finland,126.13,Very High,73.57,High,77.57,High,60.04,Moderate,11.83,Very Low
France,111.7,Very High,44.56,Moderate,77.78,High,59.48,Low,43.56,Moderate
French Guiana,0,Very Low,36.87,Low,55.56,Moderate,0,Very Low,37.3,Low
French Polynesia,0,Very Low,79.04,High,96.3,Very High,0,Very Low,52.3,Moderate
French Southern Territories,0,Very Low,53.68,Moderate,38.89,Low,0,Very Low,37.7,Low
Gabon,20.07,Very Low,39.86,Low,31.48,Low,48.7,Low,76.47,High
Gambia,7.25,Very Low,40.88,Moderate,66.67,High,27.72,Very Low,61.67,High
Georgia,40.6,Low,73.9,High,56.34,Moderate,32,Very Low,67.54,High
Germany,130.01,Very High,60.77,High,71.97,High,59.56,Low,28.81,Low
Ghana,17.4,Very Low,54.65,Moderate,57.38,Moderate,30.49,Very Low,86.91,Very High
Gibraltar,103.02,High,79.77,High,67.13,High,59.05,Low,61.64,High
Greece,59.69,Low,53.44,Moderate,58.2,Moderate,47.78,Low,50.07,Moderate
Greenland,139.14,Very High,62.16,High,51.39,Moderate,83.09,High,77.11,High
Grenada,31.88,Very Low,75.07,High,65.28,High,75.44,High,49.18,Moderate
Guadeloupe,120.6,Very High,72.18,High,93.06,Very High,57.98,Low,75.86,High
Guam,0,Very Low,36.34,Low,36.19,Low,0,Very Low,51.83,Moderate
Guatemala,40.26,Low,41.92,Moderate,67.33,High,36.67,Very Low,73.47,High
Guernsey,142.95,Very High,76.14,High,61.11,High,66.48,Moderate,11.49,Very Low
Guinea,0,Very Low,39.95,Low,100,Very High,0,Very Low,106.67,Very High
Guinea-Bissau,76.11,Moderate,48.18,Moderate,51.39,Moderate,39.6,Very Low,0,Very Low
Guyana,35,Very Low,33.65,Low,37.65,Low,44.46,Low,60.09,High
Haiti,77.7,Moderate,21.41,Low,32.72,Low,51.39,Low,94.3,Very High
Honduras,43.68,Low,27.75,Low,37.83,Low,34.39,Very Low,75.52,High
Hong Kong (China),108.13,High,78.49,High,66.06,High,74.59,High,66.86,High
Hungary,70.34,Moderate,66.28,High,54.07,Moderate,37.72,Very Low,46.57,Moderate
Iceland,126.81,Very High,74.26,High,67.63,High,81.71,High,15.84,Very Low
India,86.09,High,55.67,Moderate,65.43,High,19.93,Very Low,72.89,High
Indonesia,33.47,Very Low,54.11,Moderate,60.84,High,25.31,Very Low,67.99,High
Iran,29.9,Very Low,49.67,Moderate,52.62,Moderate,24.03,Very Low,75.24,High
Iraq,55.15,Low,57.47,Moderate,45.9,Moderate,26.81,Very Low,71.53,High
Ireland,112.53,Very High,52.53,Moderate,51.38,Moderate,60.85,Moderate,34.79,Low
Isle Of Man,140.64,Very High,79.57,High,72.61,High,62.41,Moderate,18.12,Very Low
Israel,108.83,High,68.25,High,73.34,High,63.19,Moderate,56.84,Moderate
Italy,87.2,High,53.03,Moderate,65.13,High,52.12,Low,53.67,Moderate
Ivory Coast,12.91,Very Low,43.57,Moderate,44.44,Moderate,39.62,Very Low,94.87,Very High
Jamaica,36.87,Very Low,32.61,Low,51.52,Moderate,49.56,Low,66.31,High
Japan,120.74,Very High,77.07,High,79.81,High,46.99,Low,38.55,Low
Jersey,104.07,High,74.32,High,53.94,Moderate,77.04,High,26.72,Low
Jordan,52.44,Low,59.78,Moderate,65.23,High,37.64,Very Low,77.1,High
Kazakhstan,51.89,Low,54.62,Moderate,60.65,High,28.08,Very Low,73.16,High
Kenya,35.6,Very Low,44.24,Moderate,61.54,High,28.23,Very Low,69.04,High
Kiribati,281.83,Very High,81.86,Very High,55.56,Moderate,55.26,Low,106.9,Very High
Kosovo (Disputed Territory),53,Low,59.2,Moderate,68.47,High,26.04,Very Low,67.84,High
Kuwait,176.8,Very High,67.19,High,57.93,Moderate,40.82,Low,69.37,High
Kyrgyzstan,35.11,Very Low,46.17,Moderate,57.62,Moderate,25.72,Very Low,70.38,High
Laos,32.51,Very Low,63.72,High,34.44,Low,32.57,Very Low,78.51,High
Latvia,76.15,Moderate,62.8,High,62.4,High,44.96,Low,30.4,Low
Lebanon,34.84,Very Low,53.16,Moderate,63.69,High,38.99,Very Low,89.41,Very High
Lesotho,0,Very Low,32.75,Low,55.56,Moderate,0,Very Low,58.62,Moderate
Liberia,33.34,Very Low,19.13,Very Low,38.89,Low,64.1,Moderate,91.76,Very High
Libya,50.47,Low,44.23,Moderate,45.45,Moderate,18.72,Very Low,53.02,Moderate
Liechtenstein,178.83,Very High,87.84,Very High,70.37,High,94.03,Very High,6.47,Very Low
Lithuania,80.43,Moderate,67.72,High,74.95,High,44.73,Low,26.14,Low
Luxembourg,195.55,Very High,64.68,High,75.24,High,63.72,Moderate,23.27,Low
Macao (China),106.51,High,79.52,High,51,Moderate,57.26,Low,67.58,High
Madagascar,16.75,Very Low,35.59,Low,39.32,Low,21.27,Very Low,86.87,Very High
Malawi,29.25,Very Low,43.89,Moderate,37.5,Low,35.35,Very Low,64.16,High
Malaysia,86.32,High,51.03,Moderate,70.37,High,29.82,Very Low,61.14,High
Maldives,52.96,Low,45.91,Moderate,45.94,Moderate,45.85,Low,74.55,High
Mali,0,Very Low,52.92,Moderate,18.52,Very Low,0,Very Low,85.52,Very High
Malta,78.04,Moderate,57.09,Moderate,52.12,Moderate,48.99,Low,75.5,High
Marshall Islands,0,Very Low,72.55,High,0,Very Low,0,Very Low,85.63,Very High
Martinique,94.35,High,37.14,Low,75,High,60.67,Moderate,62.59,High
Mauritania,56,Low,61.51,High,46.76,Moderate,41.43,Low,78.97,High
Mauritius,49.7,Low,52.71,Moderate,65.18,High,34.6,Very Low,54.8,Moderate
Mexico,48.48,Low,46.47,Moderate,72.39,High,35,Very Low,58.46,Moderate
